liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,USDT-WETH,1.0,0.25,yes,yes,yes,3510185546.5427785,1,351018.5546542781,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,533840.7185367146
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,USDT-WETH,1.0,0.25,yes,yes,yes,3498208938.1747546,1,349820.8938174756,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,532019.2760140775
0x11b815efb8f581194ae79006d24e0d814b7697f6,USDT-WETH,5.0,0.25,yes,yes,yes,1924048166.8033097,1,962024.0834016548,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,1463078.2935066833
0x11b815efb8f581194ae79006d24e0d814b7697f6,USDT-WETH,5.0,0.25,yes,yes,yes,1913365848.7627034,1,956682.9243813513,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,1454955.280829972
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,USDT-WETH,30.0,0.166666,yes,yes,yes,947883166.1308769,1,2843649.4983926318,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,2883133.0977362306
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,USDT-WETH,30.0,0.166666,yes,yes,yes,868845261.0463727,1,2606535.783139118,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,2642727.0980653744
0xc5af84701f98fa483ece78af83f11b6c38aca71d,USDT-WETH,100.0,0.166666,yes,yes,yes,1090033.5451911555,1,10900.335451911555,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,11051.684792938771
0xc5af84701f98fa483ece78af83f11b6c38aca71d,USDT-WETH,100.0,0.166666,yes,yes,yes,715152.155444497,1,7151.521554444971,1,0.9105939501099142,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xdac17f958d2ee523a2206206994597c13d831ec7,7250.819239308181
0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,1.0,0.25,yes,yes,yes,2999438037.630743,2,299943.8037630745,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,456164.5348896758
0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,1.0,0.25,yes,yes,yes,2993146333.364022,2,299314.633336402,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,455207.6715324447
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,5.0,0.25,yes,yes,yes,2669506554.0568256,2,1334753.2770284123,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2029937.2754807104
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,5.0,0.25,yes,yes,yes,2649204963.8143377,2,1324602.4819071696,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2014499.607900487
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,30.0,0.166666,yes,yes,yes,301681031.1378351,2,905043.0934135054,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,917609.4659250362
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,30.0,0.166666,yes,yes,yes,265422056.26414979,2,796266.1687924488,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,807322.1918351039
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,100.0,0.166666,yes,yes,yes,787740.0615136692,2,7877.4006151366975,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7986.777009777768
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,100.0,0.166666,yes,yes,yes,499248.20883073006,2,4992.482088307298,2,0.9659308811608124,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5061.801870023098
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,USDC-WBTC,30.0,0.166666,yes,yes,yes,525806881.2943037,3,1577420.6438829105,3,0.9853461327069695,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1599322.8666197842
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,USDC-WBTC,5.0,0.25,yes,yes,yes,476368189.81589144,3,238184.09490794592,3,0.9853461327069695,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,362238.31100583443
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,USDC-WBTC,5.0,0.25,yes,yes,yes,474538654.3873144,3,237269.32719365717,3,0.9853461327069695,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,360847.10177368694
