# Token pairs extracted from pools.csv
# Format: token0,token1
0x00000000000007c8612ba63df8ddefd9e6077c97,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000000c5dc95539589fbd24be07c6c14eca4,0x60c19ef883c94be612d9d58e7becd3bc1d29442c
0x0000000000c5dc95539589fbd24be07c6c14eca4,0x6c05b8141cefb64502b6dfcaae7c77babbac18fa
0x0000000000c5dc95539589fbd24be07c6c14eca4,0x72e4f9f808c49a2a61de9c5896298920dc4eeea9
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xcc629b7dbb37a726a9bb64c58c3a12b484cfe489
0x0000000000c5dc95539589fbd24be07c6c14eca4,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000038247f0433f33966c2171a5ad67892a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000004cf5f43a0363a55ec2dca691e398f50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000000503be77a5ed27bef2c19943a8b5ae73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000000f8a255d589c49f5fefe2a87991fef04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000001326d79898524c0129e38897d01a47fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000015955ad460c94eb77152ca0bd696d553,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000030847b09b3d1d16a85fdc70717d13fb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000042156d92b07fe81612746072f18a1fb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000045cfbc94c3d18c1ee5d3755e25ca722c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
